EPOCH 9 G_LOSS: tf.Tensor(7.185492, shape=(), dtype=float32)
EPOCH 9 D_LOSS: tf.Tensor(0.8694238, shape=(), dtype=float32)
EPOCH 10 FID: tf.Tensor(363.40433, shape=(), dtype=float32)
EPOCH 10 G_LOSS: tf.Tensor(5.0338154, shape=(), dtype=float32)
EPOCH 10 D_LOSS: tf.Tensor(0.9036736, shape=(), dtype=float32)
EPOCH 11 FID: tf.Tensor(333.0663, shape=(), dtype=float32)
EPOCH 11 G_LOSS: tf.Tensor(7.1846833, shape=(), dtype=float32)
EPOCH 11 D_LOSS: tf.Tensor(0.7837083, shape=(), dtype=float32)
EPOCH 12 FID: tf.Tensor(397.19504, shape=(), dtype=float32)
EPOCH 12 G_LOSS: tf.Tensor(6.367893, shape=(), dtype=float32)
EPOCH 12 D_LOSS: tf.Tensor(0.7527623, shape=(), dtype=float32)
EPOCH 13 FID: tf.Tensor(364.46188, shape=(), dtype=float32)
EPOCH 13 G_LOSS: tf.Tensor(4.154024, shape=(), dtype=float32)
EPOCH 13 D_LOSS: tf.Tensor(0.8040457, shape=(), dtype=float32)
EPOCH 14 FID: tf.Tensor(361.85178, shape=(), dtype=float32)
EPOCH 14 G_LOSS: tf.Tensor(4.387305, shape=(), dtype=float32)
EPOCH 14 D_LOSS: tf.Tensor(0.75784105, shape=(), dtype=float32)
EPOCH 15 FID: tf.Tensor(276.0001, shape=(), dtype=float32)
EPOCH 15 G_LOSS: tf.Tensor(4.651232, shape=(), dtype=float32)
EPOCH 15 D_LOSS: tf.Tensor(0.83054924, shape=(), dtype=float32)
EPOCH 16 FID: tf.Tensor(321.2899, shape=(), dtype=float32)
EPOCH 16 G_LOSS: tf.Tensor(6.6756263, shape=(), dtype=float32)
EPOCH 16 D_LOSS: tf.Tensor(0.7522092, shape=(), dtype=float32)
EPOCH 17 FID: tf.Tensor(398.7878, shape=(), dtype=float32)
EPOCH 17 G_LOSS: tf.Tensor(5.407988, shape=(), dtype=float32)
EPOCH 17 D_LOSS: tf.Tensor(0.7534764, shape=(), dtype=float32)
EPOCH 18 FID: tf.Tensor(339.07278, shape=(), dtype=float32)
EPOCH 18 G_LOSS: tf.Tensor(7.4270587, shape=(), dtype=float32)
EPOCH 18 D_LOSS: tf.Tensor(0.82764846, shape=(), dtype=float32)
EPOCH 19 FID: tf.Tensor(346.54514, shape=(), dtype=float32)
EPOCH 19 G_LOSS: tf.Tensor(5.7359104, shape=(), dtype=float32)
EPOCH 19 D_LOSS: tf.Tensor(0.74194473, shape=(), dtype=float32)
EPOCH 0 FID: tf.Tensor(365.80276, shape=(), dtype=float32)
EPOCH 0 G_LOSS: tf.Tensor(3.9909604, shape=(), dtype=float32)
EPOCH 0 D_LOSS: tf.Tensor(0.8835934, shape=(), dtype=float32)
EPOCH 1 FID: tf.Tensor(348.86865, shape=(), dtype=float32)
EPOCH 1 G_LOSS: tf.Tensor(6.3902392, shape=(), dtype=float32)
EPOCH 1 D_LOSS: tf.Tensor(0.84947485, shape=(), dtype=float32)
EPOCH 2 FID: tf.Tensor(314.3127, shape=(), dtype=float32)
EPOCH 2 G_LOSS: tf.Tensor(7.38292, shape=(), dtype=float32)
EPOCH 2 D_LOSS: tf.Tensor(0.9405973, shape=(), dtype=float32)
EPOCH 3 FID: tf.Tensor(362.15262, shape=(), dtype=float32)
EPOCH 3 G_LOSS: tf.Tensor(7.722664, shape=(), dtype=float32)
EPOCH 3 D_LOSS: tf.Tensor(0.8743358, shape=(), dtype=float32)
EPOCH 4 FID: tf.Tensor(417.84494, shape=(), dtype=float32)
EPOCH 4 G_LOSS: tf.Tensor(6.8516726, shape=(), dtype=float32)
EPOCH 4 D_LOSS: tf.Tensor(0.75481695, shape=(), dtype=float32)
EPOCH 5 FID: tf.Tensor(339.93906, shape=(), dtype=float32)
EPOCH 5 G_LOSS: tf.Tensor(5.2661066, shape=(), dtype=float32)
EPOCH 5 D_LOSS: tf.Tensor(0.6439393, shape=(), dtype=float32)
EPOCH 6 FID: tf.Tensor(356.22583, shape=(), dtype=float32)
EPOCH 6 G_LOSS: tf.Tensor(6.4187455, shape=(), dtype=float32)
EPOCH 6 D_LOSS: tf.Tensor(0.81219506, shape=(), dtype=float32)
EPOCH 7 FID: tf.Tensor(384.8516, shape=(), dtype=float32)
EPOCH 7 G_LOSS: tf.Tensor(6.3088164, shape=(), dtype=float32)
EPOCH 7 D_LOSS: tf.Tensor(0.67201215, shape=(), dtype=float32)
EPOCH 8 FID: tf.Tensor(369.60703, shape=(), dtype=float32)
EPOCH 8 G_LOSS: tf.Tensor(5.891232, shape=(), dtype=float32)
EPOCH 8 D_LOSS: tf.Tensor(0.7896435, shape=(), dtype=float32)
EPOCH 9 FID: tf.Tensor(356.88095, shape=(), dtype=float32)
EPOCH 9 G_LOSS: tf.Tensor(8.0727, shape=(), dtype=float32)
EPOCH 9 D_LOSS: tf.Tensor(0.6951654, shape=(), dtype=float32)
EPOCH 10 FID: tf.Tensor(309.18222, shape=(), dtype=float32)
EPOCH 10 G_LOSS: tf.Tensor(5.3465443, shape=(), dtype=float32)
EPOCH 10 D_LOSS: tf.Tensor(0.71844316, shape=(), dtype=float32)
EPOCH 11 FID: tf.Tensor(455.0601, shape=(), dtype=float32)
EPOCH 11 G_LOSS: tf.Tensor(8.583673, shape=(), dtype=float32)
EPOCH 11 D_LOSS: tf.Tensor(0.83892584, shape=(), dtype=float32)
EPOCH 12 FID: tf.Tensor(305.50528, shape=(), dtype=float32)
EPOCH 12 G_LOSS: tf.Tensor(5.410688, shape=(), dtype=float32)
EPOCH 12 D_LOSS: tf.Tensor(0.7154123, shape=(), dtype=float32)
EPOCH 13 FID: tf.Tensor(361.67087, shape=(), dtype=float32)
EPOCH 13 G_LOSS: tf.Tensor(6.970299, shape=(), dtype=float32)
EPOCH 13 D_LOSS: tf.Tensor(0.75983053, shape=(), dtype=float32)
EPOCH 14 FID: tf.Tensor(316.6038, shape=(), dtype=float32)
EPOCH 14 G_LOSS: tf.Tensor(6.2928834, shape=(), dtype=float32)
EPOCH 14 D_LOSS: tf.Tensor(0.61958617, shape=(), dtype=float32)
EPOCH 15 FID: tf.Tensor(313.07446, shape=(), dtype=float32)
EPOCH 15 G_LOSS: tf.Tensor(5.5300674, shape=(), dtype=float32)
EPOCH 15 D_LOSS: tf.Tensor(0.6251064, shape=(), dtype=float32)
EPOCH 16 FID: tf.Tensor(309.9067, shape=(), dtype=float32)
EPOCH 16 G_LOSS: tf.Tensor(6.2297387, shape=(), dtype=float32)
EPOCH 16 D_LOSS: tf.Tensor(0.6238468, shape=(), dtype=float32)
EPOCH 17 FID: tf.Tensor(338.54727, shape=(), dtype=float32)
EPOCH 17 G_LOSS: tf.Tensor(6.2739205, shape=(), dtype=float32)
EPOCH 17 D_LOSS: tf.Tensor(0.84614086, shape=(), dtype=float32)
EPOCH 18 FID: tf.Tensor(308.37424, shape=(), dtype=float32)
EPOCH 18 G_LOSS: tf.Tensor(6.734961, shape=(), dtype=float32)
EPOCH 18 D_LOSS: tf.Tensor(0.60768586, shape=(), dtype=float32)
EPOCH 19 FID: tf.Tensor(312.7933, shape=(), dtype=float32)
EPOCH 19 G_LOSS: tf.Tensor(5.3248997, shape=(), dtype=float32)
EPOCH 19 D_LOSS: tf.Tensor(0.54730195, shape=(), dtype=float32)
EPOCH 0 FID: tf.Tensor(392.63672, shape=(), dtype=float32)
EPOCH 0 G_LOSS: tf.Tensor(5.2556915, shape=(), dtype=float32)
EPOCH 0 D_LOSS: tf.Tensor(0.82306653, shape=(), dtype=float32)
EPOCH 1 FID: tf.Tensor(347.97208, shape=(), dtype=float32)
EPOCH 1 G_LOSS: tf.Tensor(5.906746, shape=(), dtype=float32)
EPOCH 1 D_LOSS: tf.Tensor(0.68450856, shape=(), dtype=float32)
EPOCH 2 FID: tf.Tensor(305.97214, shape=(), dtype=float32)
EPOCH 2 G_LOSS: tf.Tensor(6.6260953, shape=(), dtype=float32)
EPOCH 2 D_LOSS: tf.Tensor(0.7951775, shape=(), dtype=float32)
EPOCH 3 FID: tf.Tensor(344.13525, shape=(), dtype=float32)
EPOCH 3 G_LOSS: tf.Tensor(5.442482, shape=(), dtype=float32)
EPOCH 3 D_LOSS: tf.Tensor(0.75509137, shape=(), dtype=float32)
EPOCH 4 FID: tf.Tensor(354.1702, shape=(), dtype=float32)
EPOCH 4 G_LOSS: tf.Tensor(6.1717534, shape=(), dtype=float32)
EPOCH 4 D_LOSS: tf.Tensor(0.6516925, shape=(), dtype=float32)
EPOCH 5 FID: tf.Tensor(369.63412, shape=(), dtype=float32)
